,bp_rp,phot_g_mean_mag,distance_gspphot,visibility_periods_used,astrometric_sigma5d_max,astrometric_excess_noise,astrometric_matched_transits
65742,0.52549505,7.133642,80.2842,24,0.02761581,0.15276654,41
65748,1.6673241,8.254614,14.2571,29,0.024197374,0.10452624,48
65750,0.01679945,6.155564,98.4781,30,0.07559258,0.49430153,46
65753,0.8938985,7.9608135,78.9993,29,0.09227762,0.717892,53
65754,2.1394587,13.823625,96.1104,18,0.03388506,0.05380181,36
65761,3.6911945,18.898617,116.0922,19,0.38608617,0.86087066,47
65763,1.3336592,9.674306,39.166,18,0.015655002,0.07700575,78
65771,2.8051758,14.329338,46.1774,18,0.038215093,0.0,37
65772,1.9683485,13.240169,88.8786,22,0.015676048,0.006995608,72
65776,2.0881338,13.565762,94.2571,23,0.04849153,0.24850228,35
65779,2.3313284,15.188578,99.5799,25,0.041077975,0.0,37
65782,1.0219002,10.675531,99.2922,22,0.023664333,0.08799649,33
65784,2.531186,14.646286,98.7145,28,0.02900693,0.0,41
65785,2.6500654,16.08437,97.4264,26,0.06347157,0.0,36
65796,1.0989952,10.697359,87.6583,17,0.023947665,0.045832306,43
65809,0.79505444,8.996834,94.5032,21,0.023404354,0.093239866,49
65810,2.630415,14.5754,99.4383,22,0.046145517,0.14111157,44
65811,2.317978,14.707702,94.4864,22,0.03485522,0.01048896,49
65820,0.6932678,8.453333,72.9516,25,0.020675344,0.113928,90
65821,0.6883831,8.971282,93.9928,24,0.057757795,0.4449202,62
65827,0.573133,8.155324,86.7167,21,0.027627168,0.11887678,63
65852,3.1193867,16.06479,58.3855,26,0.04621743,0.058938224,62
65856,0.81828976,8.1298485,46.9486,20,0.027932769,0.12356889,64
65860,2.9293985,14.63543,45.1311,29,0.029443858,0.1069579,93
65863,1.5163031,11.073928,61.3533,22,0.026581476,0.118430555,46
65865,1.134078,10.4880905,75.2385,20,0.022877572,0.0671674,40
65866,1.005455,8.255675,33.7012,22,0.025343811,0.1093583,89
65871,0.59853077,7.315542,79.0154,21,0.6013259,3.114591,43
65877,2.2090034,13.1156225,70.7428,29,0.016394844,0.03288175,62
65880,2.3151102,14.072019,92.5496,25,0.023423858,0.03343702,81
65882,2.693571,16.004196,101.9405,29,0.053130675,0.049430806,61
65886,0.89556694,9.792561,91.835,30,0.01916397,0.055791657,57
65887,0.929945,8.993242,59.4633,31,0.05443183,0.4056673,62
65888,0.91578484,9.745866,74.2892,31,0.018952943,0.086950675,54
65889,2.7131596,15.662626,94.0925,26,0.042593494,0.0,51
65891,2.8172703,16.555626,101.0983,30,0.07137457,0.09984971,52
65892,2.3684587,14.323602,85.8885,26,0.026453156,0.0566176,50
65894,1.4268236,10.613162,54.1982,30,0.019225048,0.07759022,47
65896,0.72061443,9.02037,92.864,30,0.02077864,0.1001985,56
65897,3.5599976,18.453531,113.1896,32,0.2236186,0.73226,61
65901,1.8680716,14.779267,88.4395,31,0.030483028,0.0,52
65903,1.8350487,12.473008,85.3728,30,0.018142538,0.07319011,53
65904,2.6947823,15.378134,96.3515,30,0.037012704,0.05849483,51
