bp_rp,phot_g_mean_mag
1.9788837,18.136923
,18.472263
3.5042686,18.049126
3.2274208,13.833268
3.731985,19.304556
,20.315363
1.9369946,20.278612
2.5257683,12.772134
0.84498596,9.977283
2.2473125,17.868042
0.9126663,20.413832
0.77290916,9.139886
1.1433926,17.154747
1.0169554,10.472281
2.8299742,16.156305
4.5155983,17.564974
3.8292503,18.453175
2.8121529,15.030371
0.8210869,20.407108
1.9818954,19.482813
1.8387318,20.310955
1.9990273,20.540062
0.79517174,20.927773
,20.577545
,20.29074
1.3591805,18.886332
,20.647741
0.6472969,19.778542
,19.591393
2.328703,20.291355
1.7340813,18.410343
1.645647,20.498842
1.6594963,20.419039
1.7868099,20.436443
1.8918743,20.00183
1.757946,20.8286
4.2619495,17.69883
1.5452251,19.575317
1.2083607,20.967186
1.764883,19.94876
1.7939053,19.664322
0.94927025,20.774714
3.078024,16.878124
2.235403,13.919387
,20.267698
1.555399,10.8484745
2.602066,12.808701
,18.878883
2.5596352,12.530755
1.9697495,10.901163
1.0621605,9.841554
2.4808617,19.742836
1.8178711,10.304455
2.40732,20.43672
,19.91713
2.0965576,17.55382
1.8365288,20.385244
1.8862839,19.789145
,18.389418
1.6377792,20.563112
3.6438046,16.75561
0.9157047,20.743774
0.7847066,7.1291037
2.9093275,15.328287
3.0879774,14.41262
2.3358154,13.75551
1.2370796,19.184916
1.6067371,20.714237
1.7864151,12.9194565
2.4494705,20.381927
,20.52073
2.0930634,20.374874
0.7999897,20.138102
1.6768608,20.547453
,18.712574
2.744051,20.747702
0.9542446,20.841066
1.0573807,19.67319
,18.601498
1.3171501,20.978493
,20.439087
2.5298443,14.395387
2.3802662,12.927482
,20.833536
1.5847149,11.980868
,20.304955
1.4000912,19.044716
,18.307146
2.0307922,20.564491
,13.656862
1.1432991,20.501747
,19.808529
3.0153866,17.039408
3.5484638,20.799805
0.9678736,10.106925
3.414691,14.754459
0.9011774,10.144538
,20.13539
2.6936073,13.145366
2.8641891,15.594542
1.4087219,18.483793
,20.935917
1.4624214,20.981718
1.1451588,19.258709
3.1176453,19.38085
,20.124607
,12.938425
3.6802387,18.75533
2.4551144,19.417427
2.514844,12.895062
,20.601372
1.9159164,12.767746
3.4911366,17.744162
2.9791794,16.023989
3.2753992,17.219976
1.593113,18.383257
3.142702,16.911623
1.3749485,20.238499
,19.64726
1.3512058,19.301756
,20.249397
1.0063667,20.072487
0.6781893,7.9274054
,20.831211
1.8575745,20.116388
3.5029802,16.91693
1.6691179,11.147591
,20.196384
1.7306881,20.682346
1.2832079,9.244588
1.4697304,19.852533
,20.787737
,20.279842
0.6928425,18.929903
2.1265287,12.90913
2.1353092,19.47214
,20.572744
1.6955471,12.151338
,20.742193
1.317955,20.58205
1.1689625,20.201176
1.8016567,20.58909
,19.68425
1.1196861,20.126774
2.1662312,20.357552
3.1247644,14.78124
,20.279663
,18.295
,18.792208
1.0909233,20.759203
,20.565432
1.2609177,19.375187
2.95576,16.590275
,20.400784
1.3704967,19.427927
1.6205025,20.789452
1.2328434,19.020739
1.2777176,20.718472
0.7290306,19.67331
1.7973537,20.464365
2.5717678,19.91811
1.1872387,19.995117
2.3975182,15.550593
,19.631496
1.7743034,20.025164
1.1837502,20.679274
,19.585665
1.8145695,19.800858
,19.91394
3.8763561,19.16233
1.4176807,19.094585
3.304967,17.145718
1.719841,18.484465
1.4129219,19.307709
2.4837418,14.280423
0.9734268,19.843182
2.3122768,13.858838
3.601616,17.069334
1.4622879,20.865137
0.9524889,9.596604
1.8897514,20.700006
1.508606,18.78119
2.3210192,14.593032
0.99821854,9.818803
2.0291405,11.836361
3.1004944,17.68225
2.8258677,15.791516
3.6768055,18.277935
1.6173248,20.61921
,20.745512
2.3618202,20.394104
2.0463943,19.21855
3.088049,13.2230015
1.1800156,20.991867
2.913806,14.872436
1.7376928,12.370965
1.1072578,19.134
2.2785387,13.893445
1.0212898,20.736347
2.19203,13.849408
3.4979362,17.434061
1.1169138,10.982798
2.1114864,20.911207
1.8483562,19.910995
2.2843676,12.970921
0.75980186,8.241471
2.624402,13.796369
1.4401627,19.090963
0.9863739,9.4778185
3.163166,16.682625
2.7683449,14.860493
1.5391998,20.142239
1.2025738,10.926398
,19.852303
1.8481846,19.30907
1.1676197,18.791933
3.1285734,17.072483
2.7536879,15.070275
1.5690556,19.992435
2.4117527,19.958763
3.1332703,17.247097
3.286891,15.307966
4.018032,18.904297
2.7710476,15.6969385
1.1738491,17.16968
1.2634983,20.753304
1.7362843,20.101395
1.224783,20.121456
2.5680141,20.762756
1.4212093,19.408173
1.8702698,20.098492
1.6795769,20.297968
2.351038,14.294783
1.8403378,20.744244
,20.639093
1.4106388,20.26874
2.5305948,14.7797785
2.024994,19.037024
2.6023216,20.068403
,18.777893
1.2343416,10.928512
1.3167381,20.679426
1.4860802,19.56438
1.1873589,20.234137
1.3573914,18.041327
3.3531055,16.812466
1.5564709,19.333345
2.7128048,16.172968
1.3543959,11.5342455
1.081253,20.950377
1.3377552,20.54951
1.5631447,19.135546
1.3838997,18.99171
2.0215034,20.247839
2.522441,15.087664
1.2034168,10.240313
3.637598,17.700214
1.425972,19.238138
,19.974072
