,phot_g_mean_mag,bp_rp,distance_gspphot
360851,11.947251,1.5130568,93.0247
360852,14.617811,2.5625715,81.4418
360853,15.131156,2.732355,97.0435
360854,14.3439045,2.554515,86.3551
360861,13.135304,1.7541218,88.6302
360862,7.0557942,0.46481705,70.8778
360868,13.664017,2.1426935,92.0243
360870,7.4389095,0.5794358,65.7741
360871,8.138076,0.6846719,74.0034
360872,13.223539,2.0165396,89.7551
360873,13.514424,2.100173,95.8522
360878,13.044848,2.4769506,36.4176
360892,7.7824106,0.8262124,54.1328
360893,10.236719,1.0369492,77.6945
360895,8.920838,0.69002056,98.7954
360896,15.18179,2.596408,98.7348
360899,8.83697,0.85722256,93.1188
360900,13.583413,2.0417385,77.6678
360903,14.648334,2.3776217,92.71
360904,14.500603,3.2906427,27.2053
360912,8.697276,1.0748482,34.0332
360915,12.3320465,1.7334776,99.4062
360916,4.4982443,0.656775,44.328
360918,13.850233,2.2673416,85.0235
360919,14.879289,2.6982498,93.162
360920,15.4540205,2.694788,90.4332
360922,12.403641,1.6307201,106.0611
360925,16.34254,2.6063566,97.4846
360928,10.444497,2.7784386,6.501
360931,13.95588,2.2276678,86.9334
360933,18.146423,3.479002,114.8933
360934,14.017658,2.2478018,79.2763
360936,6.160456,0.8027034,27.5843
360937,11.789667,1.4445477,87.7471
360941,15.470867,3.1650229,47.6087
360945,9.911185,0.9234514,93.0309
360946,9.601218,2.1807442,13.2449
360947,15.521569,2.692378,100.1943
360953,13.439518,2.2195091,80.891
360954,11.997826,1.5574217,87.4953
360955,15.842868,2.6558151,100.4619
360960,6.1049557,0.44235706,46.6651
360961,10.344939,0.9387455,98.8962
360962,10.163534,1.1022854,71.9128
360964,10.716248,1.0175686,99.383
360968,9.2489605,0.80178833,84.0925
360972,8.941076,0.7846937,95.8706
360975,9.650213,0.92025566,78.7495
360977,6.6734643,0.41768885,84.7357
360978,11.236207,1.3357534,84.9988
360979,7.752264,0.6358957,90.8307
360980,10.913422,2.8370752,8.706
360988,9.9107065,1.1178284,63.7138
360993,7.8679204,0.79690313,62.8535
360994,9.616643,1.139678,49.1438
360996,17.109941,3.2490664,106.2474
360999,9.105511,0.7094021,93.1852
361006,8.775126,0.6966152,81.8394
361012,15.3915,2.6271753,95.9219
361017,14.051357,2.408659,90.2833
361018,12.238105,1.7895031,78.2248
361020,14.490484,2.3542633,96.7595
361024,13.856746,2.2955484,79.0651
361029,12.726293,2.2902412,33.4689
361033,13.500256,2.0827923,95.1809
361039,9.5128975,0.983181,64.7647
361041,9.807596,0.9458456,65.1688
361046,11.29812,1.5645466,84.7447
361053,7.961347,0.940866,71.4211
361055,9.737772,0.9078646,79.931
361056,13.631494,2.218772,86.4467
361060,13.653105,2.2418919,99.2268
361063,13.263527,2.730133,28.531
361066,16.034637,3.5198393,37.7561
361068,10.927804,1.32271,73.4861
361069,11.669942,1.3479023,91.1744
361073,13.285966,2.3986835,40.5246
361077,11.122632,1.1893091,94.817
361083,14.29536,2.4715624,87.0359
361085,13.683435,2.0324936,91.2159
361089,9.873419,1.0740519,56.2918
361090,10.745484,1.2120237,97.6527
361095,8.283154,0.7389035,75.6447
361096,15.373462,2.7817736,96.6514
361097,10.4955,2.1418571,20.3596
361099,14.572949,2.3142128,89.8373
361100,15.956163,2.8767958,93.3789
361101,11.565616,1.3712769,88.3263
361103,15.001208,2.4147768,88.051
361104,12.822114,1.8399925,87.504
361105,13.106536,2.0020428,90.3616
361107,17.767195,3.3763103,111.7579
361114,14.638261,2.4372396,98.6269
361116,8.142683,0.78432894,75.9164
361117,10.119091,1.0023842,77.2719
361118,16.309267,2.8092833,97.6287
361119,7.0759125,0.4552889,88.6574
361120,15.395876,2.7031698,93.1667
361122,13.568525,2.270917,92.2611
361123,14.10807,2.2723856,99.1401
361125,14.698487,3.0913706,37.2551
361127,9.087287,0.9301529,89.1895
361129,8.196246,0.7129054,62.3242
361132,14.388863,2.4646301,81.3129
361133,12.453837,1.7215033,90.0361
361134,7.13478,0.7405281,42.5488
361135,15.959965,2.6719694,93.1642
361141,14.656923,2.5037422,85.3676
361143,14.462065,2.8464174,87.6185
361144,11.424831,1.3475428,93.7471
361145,9.735077,1.190382,56.7163
361146,9.565662,1.1294909,83.9093
361147,8.969375,0.8563795,65.1573
361148,15.515835,3.0515995,38.8653
361150,13.771913,2.4486284,79.9987
361153,16.92196,2.9290676,103.0248
361157,13.212757,2.0753222,73.7367
361158,16.294113,2.9208508,101.4629
361159,17.351175,3.2417507,104.9721
361160,15.861172,2.6694555,91.4906
361162,6.2823257,0.47703457,74.4548
361166,12.480112,1.7764082,86.3695
361167,14.956247,2.6846466,93.8348
361168,13.228663,2.5439157,38.798
361170,12.647737,1.7336206,95.1823
361172,16.491581,2.8503284,97.4746
361181,8.33475,0.8842368,47.8165
361184,10.911848,1.0826473,98.5679
361189,15.57817,2.846572,87.6151
361191,15.709802,2.7692738,94.6205
361201,14.572016,3.0023775,37.4429
361207,13.077044,2.2853184,58.7985
361209,6.649316,0.7870879,24.0933
361210,14.666202,2.7435246,92.2676
361213,13.504653,2.1154213,93.779
361215,14.558837,2.550929,85.6169
361223,14.452025,2.632844,87.9393
361265,14.770182,2.6585064,79.5112
361269,13.969993,2.4309492,88.4678
361314,8.365619,0.6215277,85.4294
361342,15.079936,2.63515,81.3616
361349,16.155336,3.061081,57.1841
361358,10.73674,0.9678259,99.0885
361359,15.493345,2.4387178,96.1082
361364,14.874013,1.9003029,73.9106
361365,14.915483,2.5547657,83.9062
361369,12.536368,1.8116703,81.1082
361370,13.92592,2.3162308,93.2861
361371,9.82666,0.8528862,98.4065
361376,8.187737,0.89588547,57.5646
361378,11.451103,1.3994932,79.6613
361379,9.047401,0.8144779,94.074
361386,14.826559,1.7732487,79.4337
361393,16.356022,3.1563816,98.6619
361395,14.246297,2.2756348,74.1658
361397,13.342771,2.2594852,67.1822
361398,16.104528,2.8870392,99.9245
361402,14.207911,2.769352,31.4626
361405,12.337486,1.7917681,79.7272
361406,9.624305,0.88039017,82.4929
361412,14.607362,3.0296412,34.1138
361416,14.9636345,2.6197815,85.554
361426,8.09504,0.6527934,78.8341
361433,16.32815,2.9601746,99.2519
361434,12.168482,1.6752253,88.9218
361439,9.141784,0.8987236,73.7403
361440,11.38729,1.8161745,49.0567
361444,7.0902786,0.6623039,69.623
361445,16.569859,2.832468,105.6064
361446,5.5535517,1.0146093,9.8997
361448,15.693924,2.6590624,94.2811
361449,14.39725,2.478366,86.9208
361454,15.862881,3.350916,43.8917
361462,8.126558,0.6701212,83.4437
361464,13.724766,2.4434462,73.7553
361467,12.023824,1.5413523,95.9401
361468,14.2158,2.434206,80.5824
361471,14.88055,2.9886627,35.1893
361473,6.121606,0.8448701,19.6112
361474,9.05372,0.80256176,89.6328
361476,12.782218,2.0988827,81.6905
361477,7.9614606,0.6517205,71.1965
361479,9.952303,0.9571953,79.2079
361481,14.711247,2.6303844,95.6305
361484,14.097492,2.306301,80.7
361492,11.668682,1.3410997,94.4765
361501,10.109891,0.92103195,85.8763
361504,9.202701,0.9196148,64.678
361506,10.172298,1.2883396,50.7082
361511,9.174309,0.8974037,84.4469
361512,13.342578,2.3129807,70.185
361514,6.206071,0.58679676,55.7629
361515,15.410441,2.4182816,91.3622
361516,15.617368,2.704113,96.6222
361518,15.517801,3.0539255,90.507
361520,16.071074,2.6659908,92.5823
361525,8.445568,0.7956743,96.0813
361528,15.248527,2.770482,99.6918
361536,14.039812,2.236761,87.16
361537,9.462119,1.0531731,54.5061
361539,13.451611,2.0481997,92.1069
361540,15.152905,3.2058878,39.7216
361541,11.577886,1.3401527,93.2224
361543,14.704434,2.3890038,92.8303
361549,8.490678,0.9146981,52.1482
361552,14.805471,2.5653744,93.6728
361553,11.215678,1.6042614,103.2484
361554,14.466373,2.4167652,82.9196
361557,11.805544,1.7213411,70.9295
361563,13.22187,2.0237408,94.2401
361564,10.9330635,1.5260668,51.1005
361569,10.393927,1.4668207,78.516
361571,10.880573,1.2394972,80.4034
361577,12.2756605,1.8867579,77.104
361584,5.090608,0.20534277,70.8848
361586,8.90759,0.7789583,79.3159
361598,13.974297,2.2767878,93.325
361600,7.716638,0.5257158,86.1132
361613,11.13461,1.2309132,95.5749
361618,11.906375,1.6076183,79.8503
361643,12.470492,1.796236,79.4864
361658,12.203811,1.9775887,62.0116
361664,13.760244,2.1929855,89.9687
361677,13.325177,2.052802,89.5767
361719,16.4536,3.02769,102.4561
361733,8.986711,0.9286375,59.6064
361767,10.575306,1.018177,94.7374
361777,13.762992,2.4121132,76.6675
361786,9.931772,0.97280693,82.8627
361787,11.403544,1.3648682,82.8881
361793,10.011551,1.0019293,66.2882
361796,15.689944,2.730421,98.8055
361797,13.21347,2.2413578,85.3216
361799,14.317731,2.2760324,85.9463
361800,11.569148,1.4925137,75.164
361801,11.918504,1.5770082,86.5582
361802,9.786734,1.0424347,60.9493
361804,7.7306533,0.6661935,86.3834
361808,5.3068933,0.62535095,41.6583
361810,14.249136,2.3955078,94.383
361811,17.350859,3.3041592,107.7149
361814,14.215705,2.4955883,84.0882
361819,8.394385,1.164774,28.1522
361823,9.738444,0.8302622,97.0774
361827,15.669114,3.4548082,38.1019
361828,14.545572,2.4312372,92.7268
361829,10.758389,1.1262703,85.9519
361830,13.742551,2.239272,79.6729
361834,12.2957945,1.7337255,89.565
361836,6.90396,0.5837059,51.542
361839,16.205572,2.9718447,104.2834
361842,13.665082,2.3631105,86.8462
361843,15.884337,2.8047724,99.7347
361848,13.976369,2.1784,81.5491
361851,11.634815,1.4674339,79.2367
361854,10.468715,1.4014158,56.358
